"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"售后服务","售后服务列表","列表页","0","5","0","0","0"
"场景推荐页","多设备快捷控制","无设备状态","0","0","1","0","0"
"房间管理","新增房间","房间名称","0","0","6","0","0"
"帮助与反馈","帮助反馈列表","列表项核对","0","0","7","0","0"
"帮助与反馈","帮助具体详情","账号问题详情","0","0","6","0","0"
"登录页","手机号登录","隐私政策按钮","0","0","1","0","0"
"个人资料页","昵称","1-20位昵称","0","0","2","0","0"
"电子说明书","历史查看","删除历史记录","0","0","3","0","0"
"设备列表页","设备列表页--未登陆状态","未登录按钮","0","1","0","0","0"
"预约维修","预约详情","预约日期","0","0","1","0","0"
"房间管理","具体房间","设备","0","0","2","0","0"
"个人资料页","昵称","超20位昵称","0","0","1","0","0"
"家庭列表页","家庭名称","1-20位家庭名称","0","0","2","0","0"
"设备列表页","虚拟体验","童锁功能","0","1","0","0","0"
"预约安装","页面显示","展示","0","0","1","0","0"
"预约安装","添加联系人","编辑","0","0","1","0","0"
"场景推荐页","回家(手动)","未添加设备","0","0","2","0","0"
"预约安装","提交判断","数据不全","0","0","3","0","0"
"个人资料页","所在地区","选择所在地区","0","0","1","0","0"
"需手动黑盒测试的功能模块","","设置--关于奥云家","0","0","1","0","0"
"设备列表页","虚拟体验","制热模式","0","1","1","0","0"
"帮助与反馈","帮助具体详情","其他问题详情","0","0","2","0","0"
"场景推荐页","回家(手动)","无设备状态","0","0","2","0","0"
"登录页","手机号登录","忘记密码按钮","0","0","2","0","0"
"帮助与反馈","意见反馈","进入意见反馈页面","0","0","2","0","0"
"设置页","去评价","去吐槽按钮","0","0","1","0","0"
"设置页","关于奥云家","官网按钮","0","0","1","0","0"
"预约安装","添加联系人","提交","0","0","6","0","0"
"房间管理","具体房间","删除房间","0","0","3","0","0"
"需手动黑盒测试的功能模块","","设置--去评价","0","0","2","0","0"
"场景推荐页","离家(手动)","未添加设备","0","0","2","0","0"
"设置页","深色模式","深色模式按钮","0","0","1","0","0"
"预约维修","预约详情","产品线","0","0","2","0","0"
"个人资料页","姓名","1-20位姓名","0","0","2","0","0"
"设备列表页","虚拟体验","除湿模式","0","1","2","0","0"
"产品指南","产品指南列表","页面跳转","0","2","1","0","0"
"预约维修","预约详情","购买日期","0","0","1","0","0"
"帮助与反馈","帮助具体详情","场景模式详情","0","0","2","0","0"
"新增场景页","手动触发","无设备状态","0","0","1","0","0"
"设备列表页","虚拟体验","虚拟体验UI","0","0","1","0","0"
"预约维修","页面显示","展示","0","0","1","0","0"
"需手动黑盒测试的功能模块","","设置--账号安全","0","0","4","0","0"
"引导页","隐私声明","不同意按钮","0","0","1","0","0"
"登录页","手机号登录","手机账号登录--勾选同意","0","0","2","0","0"
"帮助与反馈","反馈页面选项","反馈内容","0","0","2","0","0"
"场景我的页","默认场景","无设备状态","0","0","1","0","0"
"家庭列表页","家庭名称","超20位家庭名称","0","0","1","0","0"
"帮助与反馈","反馈页面选项","手机号","0","0","2","0","0"
"设置页","关于奥云家","关于奥云家UI","0","1","0","0","0"
"电子说明书","历史查看","历史记录查看","0","0","1","0","0"
"帮助与反馈","帮助具体详情","设备管理详情","0","2","2","0","0"
"预约安装","添加联系人","删除","0","0","2","0","0"
"产品指南","产品使用知识","查看知识库","0","0","1","0","0"
"设置页","设备展示方式","设备展示按钮","0","0","1","0","0"
"设备列表页","虚拟体验","高阶功能","0","1","4","0","0"
"注册页","手机号注册","密码登录按钮","0","1","0","0","0"
"设置页","关于奥云家","分享奥云家按钮","0","0","1","0","0"
"预约安装","预约详情","产品线","0","0","2","0","0"
"登录页","手机号登录","手机账号登录--未勾选同意","0","0","1","0","0"
"设备列表页","设备列表页--未登陆状态","右上角+按钮","0","1","0","0","0"
"预约安装","添加联系人","添加联系人","0","0","2","0","0"
"设备列表页","虚拟体验","制冷模式","0","0","2","0","0"
"设置页","退出登录","确定按钮","0","1","0","0","0"
"家庭列表页","返回","返回按钮","0","1","0","0","0"
"帮助与反馈","帮助具体详情","设备添加详情","0","0","3","0","0"
"家庭列表页","选择家庭","页面跳转","0","0","2","0","0"
"设备列表页","设备列表页--未登陆状态","虚拟体验按钮","0","0","1","0","0"
"设备列表页","设备列表页--未登陆状态","添加设备按钮","0","1","0","0","0"
"设置页","关于奥云家","数据隐私声明按钮","0","0","1","0","0"
"需手动黑盒测试的功能模块","","场景--新增场景","0","0","2","0","0"
"个人资料页","出生日期","默认当前日期","0","0","2","0","0"
"需手动黑盒测试的功能模块","","手机号登录--忘记密码","0","0","1","0","0"
"帮助与反馈","帮助具体详情","功能异常详情","0","0","5","0","0"
"需手动黑盒测试的功能模块","","苹果登录--苹果按钮","0","0","1","0","0"
"设置页","界面","设置页UI","0","1","0","0","0"
"设备列表页","虚拟体验","送风模式","0","1","3","0","0"
"电子说明书","电子说明书","查找电子说明书","0","1","5","0","0"
"房间管理","新增房间","房间数量","0","0","1","0","0"
"个人资料页","昵称","默认昵称","0","0","2","0","0"
"帮助与反馈","提交意见反馈","反馈记录","0","0","2","0","0"
"家庭列表页","家庭名称","清除家庭名称","0","0","1","0","0"
"设备列表页","虚拟体验","自动模式","0","1","2","0","0"
"登录页","手机号登录","显密按钮","0","0","2","0","0"
"预约安装","预约详情","购买日期","0","0","1","0","0"
"预约安装","预约详情","物流状态","0","0","2","0","0"
"需手动黑盒测试的功能模块","","QQ登录--QQ按钮","0","0","1","0","0"
"家庭列表页","家庭名称","家庭名称为空","0","0","2","0","0"
"引导页","隐私声明","同意按钮","0","1","0","0","0"
"注册页","手机号注册","返回按钮","0","0","1","0","0"
"个人资料页","昵称","昵称未空","0","0","2","0","0"
"设置页","消息免打扰","免打扰开关按钮","0","0","1","0","0"
"房间管理","具体房间","修改房间名称","0","0","1","0","0"
"帮助与反馈","提交意见反馈","提交意见反馈","0","0","2","0","0"
"个人资料页","姓名","默认姓名","0","0","2","0","0"
"预约安装","预约详情","预约日期","0","0","1","0","0"
"注册页","手机号注册","用户协议按钮","0","0","1","0","0"
"帮助与反馈","反馈页面选项","提交按钮状态","0","0","2","0","0"
"预约安装","提交判断","正确提交","0","0","0","1","0"
"个人资料页","性别","性别女","0","0","1","0","0"
"个人资料页","返回","返回按钮","0","0","1","0","0"
"注册页","手机号注册","注册按钮","0","0","1","0","0"
"设置页","去评价","取消按钮","0","0","1","0","0"
"登录页","手机号登录","用户协议按钮","0","0","1","0","0"
"登录页","手机号登录","清除按钮","0","0","1","0","0"
"场景推荐页","离家(手动)","无设备状态","0","0","2","0","0"
"登录页","手机号登录","返回按钮","0","0","1","0","0"
"个人资料页","姓名","姓名为空","0","0","2","0","0"
"产品指南","产品指南列表","列表页","0","0","1","0","0"
"设置页","账号安全","账号安全UI","0","0","1","0","0"
"帮助与反馈","反馈页面选项","显示","0","0","1","0","0"
"设置页","关于奥云家","服务热线按钮","0","0","1","0","0"
"帮助与反馈","反馈页面选项","问题类型","0","0","1","0","0"
"个人资料页","姓名","超20位姓名","0","0","1","0","0"
"需手动黑盒测试的功能模块","","微信登录--微信按钮","0","0","1","0","0"
"需手动黑盒测试的功能模块","","手机号注册--注册按钮","0","0","1","0","0"
"设备列表页","设备列表页--未登陆状态","场景控制快捷入口按钮","0","1","0","0","0"
"新增场景页","时间触发","无设备状态","0","0","1","0","0"
"需手动黑盒测试的功能模块","","个人资料--头像","0","0","1","0","0"
"设置页","退出登录","取消按钮","0","0","1","0","0"
"登录页","手机号登录","验证码登录按钮","0","1","0","0","0"
"个人资料页","性别","性别男","0","0","1","0","0"
"个人资料页","头像","修改头像","0","1","0","0","0"
"新增场景页","位置触发","无设备状态","0","0","1","0","0"
"注册页","手机号注册","隐私政策按钮","0","0","1","0","0"
