"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 02 10:25:51 CST 2021","Tue Mar 02 10:25:51 CST 2021","0","case","test_air_install","TestClass","","","进入报修页面",""
"passed","Tue Mar 02 11:38:09 CST 2021","Tue Mar 02 11:38:14 CST 2021","4367","case","test_scene_no","TestClass2","","","点击多设备快捷控制按钮测试",""
"passed","Tue Mar 02 11:22:58 CST 2021","Tue Mar 02 11:23:05 CST 2021","7509","case","test_room_list","TestClass","","","输入数字",""
"passed","Tue Mar 02 10:45:19 CST 2021","Tue Mar 02 10:45:27 CST 2021","8914","case","test_help_feedback2","TestClass1","","","账号问题展示",""
"passed","Tue Mar 02 10:46:37 CST 2021","Tue Mar 02 10:46:43 CST 2021","5965","case","test_help_feedback2","TestClass2","","","修改个人信息详情",""
"passed","Tue Mar 02 11:06:47 CST 2021","Tue Mar 02 11:06:52 CST 2021","4412","case","test_login_phone","TestClass","","","点击隐私政策测试",""
"passed","Tue Mar 02 11:15:05 CST 2021","Tue Mar 02 11:15:12 CST 2021","7328","case","test_person","TestClass2","","","1-20位昵称点击确认按钮测试",""
"passed","Tue Mar 02 11:00:50 CST 2021","Tue Mar 02 11:00:55 CST 2021","5126","case","test_instructions","TestClass6","","","点击删除",""
"broken","Tue Mar 02 10:38:05 CST 2021","Tue Mar 02 10:38:05 CST 2021","0","case","test_device_nologin","TestClass","","","点击未登录按钮测试",""
"passed","Tue Mar 02 10:30:05 CST 2021","Tue Mar 02 10:30:08 CST 2021","2943","case","test_air_install","TestClass8","","","预约日期选择",""
"passed","Tue Mar 02 11:25:03 CST 2021","Tue Mar 02 11:25:15 CST 2021","12284","case","test_room_list","TestClass5","","","查看设备[仅查看有无设备]",""
"passed","Tue Mar 02 10:45:47 CST 2021","Tue Mar 02 10:45:51 CST 2021","3536","case","test_help_feedback2","TestClass1","","","其他问题展示",""
"passed","Tue Mar 02 11:15:35 CST 2021","Tue Mar 02 11:15:40 CST 2021","4744","case","test_person","TestClass2","","","输入超20位昵称测试",""
"passed","Tue Mar 02 10:42:34 CST 2021","Tue Mar 02 10:42:45 CST 2021","10738","case","test_family_list","TestClass2","","","1-20位家庭名称点击确认测试",""
"broken","Tue Mar 02 11:57:34 CST 2021","Tue Mar 02 11:58:23 CST 2021","49140","case","test_virtual","TestClass","","","开启童锁后随即点击任意按钮",""
"passed","Tue Mar 02 10:26:12 CST 2021","Tue Mar 02 10:26:22 CST 2021","10601","case","test_air_install","TestClass1","","","整体展示",""
"broken","Tue Mar 02 10:25:51 CST 2021","Tue Mar 02 10:25:51 CST 2021","0","case","test_air_install","TestClass","","","进入报装页面",""
"passed","Tue Mar 02 10:36:15 CST 2021","Tue Mar 02 10:36:30 CST 2021","14672","case","test_air_install","TestClass16","","","修改姓名手机号",""
"passed","Tue Mar 02 11:35:24 CST 2021","Tue Mar 02 11:35:32 CST 2021","7207","case","test_scene_no","TestClass","","","点击确定按钮测试",""
"passed","Tue Mar 02 10:28:01 CST 2021","Tue Mar 02 10:28:14 CST 2021","13490","case","test_air_install","TestClass4","","","单位类型未选择",""
"passed","Tue Mar 02 11:21:16 CST 2021","Tue Mar 02 11:21:33 CST 2021","17110","case","test_person","TestClass6","","","上下滑动选择所在地区测试",""
"passed","Tue Mar 02 11:58:25 CST 2021","Tue Mar 02 11:58:25 CST 2021","0","case","test_z","TestClass","","","分享奥云家测试",""
"broken","Tue Mar 02 11:48:45 CST 2021","Tue Mar 02 11:48:55 CST 2021","10916","case","test_virtual","TestClass","","","制热模式下点击ECO",""
"passed","Tue Mar 02 10:50:18 CST 2021","Tue Mar 02 10:50:26 CST 2021","7537","case","test_help_feedback2","TestClass7","","","空调报装、报修详情",""
"passed","Tue Mar 02 11:49:15 CST 2021","Tue Mar 02 11:49:24 CST 2021","9563","case","test_virtual","TestClass","","","制热模式下点击舒风",""
